Pain Points,Value Proposition,Job Stories,Feature Name,Feature UI Description
"Feedback Latency: Viết bài xong phải đợi 3–5 ngày mới nhận phản hồi từ giáo viên","Zero Feedback Latency – Nhận phản hồi ngay khi tư duy còn nóng","Khi người dùng nộp bài, họ nhận ngay kết quả chấm điểm theo từng tiêu chí IELTS và phân tích lỗi sai từng dòng – không cần chờ đợi","Real-time Grading Result Screen","Màn hình kết quả hiện ngay sau khi submit: 4 gauge/score card hiển thị band từng tiêu chí (TA / CC / LR / GRA) + Overall Band, có animation loading ngắn để tạo cảm giác đang chấm"
"Feedback mơ hồ: AI chỉ nhận xét chung chung nhưng không chỉ rõ sửa thế nào","Actionable Feedback – Chỉ đúng lỗi, gợi đúng cách sửa","Người dùng đọc phản hồi và biết chính xác câu nào sai, sai chỗ nào, nên viết lại như thế nào","Line-by-line Error Annotation","Bài viết hiển thị dạng đọc lại (read-only); các câu/cụm từ có lỗi được underline màu theo loại lỗi; click vào highlight mở sidebar gắn nhãn loại lỗi + câu gợi ý rewrite"
"Procrastination & Burnout: Viết bài 250 từ tiêu tốn nhiều năng lượng não, dễ trì hoãn","Micro-tasks – Hạ thấp ngưỡng kích hoạt, học đều mỗi ngày","Người dùng mở app trong 10 phút và hoàn thành được 1 bài tập nhỏ mà không bị kiệt sức","Daily Micro-task Card","Màn hình Home hiển thị 1 task nổi bật dạng card (tên task + estimated time + skill tag); bấm vào vào thẳng bài tập không qua menu; hoàn thành xong hiện confetti + nút Next Task"
"Writer's Block: Bí ý tưởng, không có ai hỗ trợ tức thì","AI Assistant 24/7 – Đồng hành brainstorming mọi lúc","Khi bí ý tưởng trong lúc viết dàn ý, người dùng hỏi AI ngay và nhận gợi ý idea/từ vựng phù hợp topic","Writing Assistant Chat Panel","Panel chat thu gọn/mở rộng nằm bên phải màn hình soạn bài; nhận diện đề bài đang làm để trả lời có context; hỗ trợ 3 chế độ: Brainstorm Ideas / Suggest Vocabulary / Explain Structure"
"Không có lộ trình cá nhân hóa: Học dàn trải, không biết ưu tiên luyện gì","Hyper-Personalized Roadmap – Đánh đúng điểm yếu, không học lãng phí","Sau mỗi bài nộp, hệ thống tự điều chỉnh task tiếp theo dựa trên lỗi vừa mắc","Adaptive Weekly Roadmap","Trang My Roadmap hiển thị lịch tuần dạng timeline; mỗi ô ngày gắn 1–2 task được recommend tự động; task được tag lý do gợi ý (VD: 'Vì bạn hay sai Coherence'); có thể swap task nếu muốn"
"Không thấy mình tiến bộ: Học mãi không biết mình đang ở đâu","Gamified Progress – Thấy rõ tiến bộ từng tuần","Người dùng mở Dashboard thấy band score đang tăng và lỗi sai đang giảm – có động lực tiếp tục","Progress Dashboard","Trang Stats gồm: line chart band score theo thời gian (filter theo tiêu chí); bar chart số lỗi theo loại đang giảm dần; streak calendar dạng GitHub heatmap; badge shelf hiển thị milestone đã đạt"
"Cô đơn khi tự học: Thiếu accountability, không có ai nhắc nhở","Positive Feedback Loop – Tạo thói quen học bền vững","Người dùng nhận nhắc nhở đúng lúc và khi hoàn thành được khích lệ nhỏ – dần hình thành thói quen luyện tập hằng ngày","Streak & Reminder System","Push notification + email nhắc luyện tập theo giờ người dùng tự set; khi hoàn thành task hiện streak counter tăng; nếu break streak hiện màn hình 'Freeze Streak' cho phép dùng 1 lượt bảo vệ"
"Không biết lỗi mình hay mắc là gì: Thiếu tổng hợp lỗi sai lịch sử","Error Pattern Analysis – Nhìn rõ điểm mù của bản thân","Người dùng vào mục lỗi của mình và thấy những lỗi nào đang lặp lại nhiều nhất","My Error Log","Trang Error Log liệt kê lỗi theo tần suất (nhiều nhất → ít nhất); mỗi lỗi có thể expand xem lại các câu sai thực tế từ bài cũ; nút 'Luyện ngay' link thẳng sang micro-task tương ứng"
"Không tự tin trước kỳ thi: Không biết mình đã đủ chuẩn chưa","Mock Test Mode – Tự tin bước vào phòng thi","Trước ngày thi, người dùng làm mock test dưới điều kiện thi thật và nhận band ước tính + lời khuyên cuối","Exam Simulation Mode","Màn hình toàn trang ẩn sidebar/chat; hiển thị timer đếm ngược; sau submit hiện Predicted Band kèm radar chart so sánh với target band; section 'Ưu tiên ôn trước ngày thi' gợi ý 2–3 action cụ thể"
"Học lý thuyết nhưng không nhớ cách áp dụng: Biết rule nhưng viết vẫn sai","In-context Knowledge – Học đúng lúc cần, không học tràn lan","Khi gặp lỗi trong bài, người dùng hiểu ngay rule và thấy ví dụ mẫu mà không cần thoát ra tra Google","Error Explanation Popup","Tooltip/modal nhỏ mở khi click vào lỗi được highlight: gồm tên rule (2–4 từ), giải thích 1 câu, ví dụ câu sai vs câu đúng song song; nút 'Xem thêm' mở bài lý thuyết đầy đủ nếu cần"
"Onboarding mất phương hướng: Vào app không biết bắt đầu từ đâu","Smart Onboarding – Định vị năng lực, cá nhân hóa ngay từ đầu","Người dùng mới hoàn thành flow ngắn và ngay lập tức có lộ trình tuần đầu phù hợp với năng lực","Diagnostic Onboarding Flow","Wizard 3 bước: (1) Điền target band + deadline thi; (2) Làm bài viết ngắn 1 Task (~20 phút); (3) Xem Baseline Report với band hiện tại + top 3 điểm yếu + Roadmap tuần 1 được generate tự động"
"Vocabulary rập khuôn band thấp: Dùng đi dùng lại từ đơn giản","Vocabulary Upgrader – Nâng từ Band 5 lên Band 7 cụ thể từng câu","Sau khi bài được chấm, người dùng thấy đúng từ nào đang ở band thấp và được gợi ý thay thế bằng từ band cao hơn","Vocabulary Band Highlighter + Notebook","Trong bài chấm, từ vựng được gắn màu theo band (xám = thường, vàng = có thể nâng cấp); hover vào từ vàng hiện gợi ý synonym band cao hơn; nút Save thêm vào Vocabulary Notebook để ôn flashcard sau"
